name,value
Georgia,0.6333333333333333
Turkey,0.0
Albania,0.725
Greece,0.9156626506024096
Belarus,0.4268292682926829
Denmark,0.6641221374045801
Lithuania,0.13829787234042554
Sweden,0.1935483870967742
Northern Ireland,0.9166666666666666
Romania,0.6116504854368932
Finland,0.4727272727272727
Ireland,0.5757575757575758
Cyprus,0.6625
Bosnia and Herzegovina,0.4
Croatia,0.7741935483870968
Czech Republic,0.7954545454545454
Germany,0.046296296296296294
Scotland,0.06504065040650407
Poland,0.16483516483516483
Russia,0.7037037037037037
Montenegro,0.38461538461538464
Netherlands,0.31451612903225806
Austria,0.7289719626168224
Kosovo,0.35
East Germany,0.37209302325581395
Belgium,0.48717948717948717
Macedonia,0.6666666666666666
Moldova,0.07142857142857142
England,0.175
Azerbaijan,0.7307692307692307
Slovenia,0.17857142857142858
Slovakia,0.40625
Norway,0.1095890410958904
Luxembourg,0.3238095238095238
Spain,0.48863636363636365
Switzerland,0.11475409836065574
Italy,0.042735042735042736
Bulgaria,0.7526881720430108
Hungary,0.8448275862068966
Iceland,0.6666666666666666
Armenia,0.7
Wales,0.0
Latvia,0.6534653465346535
Portugal,0.6588235294117647
France,0.2358490566037736
Estonia,0.9157894736842105
Malta,0.25
Serbia,1.0
Ukraine,0.5357142857142857
